normal,simple
"In response to pathogens some T cells , called T helper cells , produce cytokines that direct the immune response while other T cells , called cytotoxic T cells , produce toxic granules that contain powerful enzymes which induce the death of pathogen infected cells . Following activation , B cells and T cells leave a lasting legacy of the antigens they have encountered , in the form of memory cells .","Once they are made active , B cells and T cells produce memory cells ."
"Effector lymphocytes function to eliminate the antigen , either by releasing antibodies ( in the case of B cells ) , cytotoxic granules ( cytotoxic T cells ) or by signaling to other cells of the immune system ( helper T cells ) .","Cytokines signal to other immune cells that there is a foreign antigen present . Other T cells , called cytotoxic T cells , produce toxic granules which cause the death of infected cells ."
"In response to pathogens some T cells , called T helper cells , produce cytokines that direct the immune response while other T cells , called cytotoxic T cells , produce toxic granules that contain powerful enzymes which induce the death of pathogen infected cells .","Other T cells , called cytotoxic T cells , produce toxic granules which cause the death of infected cells ."
"Examples include storage polysaccharides such as starch and glycogen , and structural polysaccharides such as cellulose and chitin .",Examples include storage polysaccharides such as starch and glycogen and structural polysaccharides such as cellulose and chitin .
"They can be digested by hydrolysis , catalyzed by enzymes called amylases , which can break the alpha-linkages ( glycosidic bonds ) .","They can be digested by hydrolysis , catalyzed by enzymes called amylases ."
"Certain animals can digest cellulose , because bacteria possessing the enzyme are present in their gut .","Certain animals can digest cellulose , because bacteria possessing the enzyme are present in their gut ."
"Humans and many other animals lack an enzyme to break the beta-linkages , so they do not digest cellulose .",Humans and many other animals do not digest cellulose .
"Humans and other animals have amylases , so they can digest starches .","Humans and other animals have amylases , so they can digest starches ."
He had become addicted to heroin after being prescribed morphine for his asthma and bronchitis many years earlier .,He had been addicted to heroin after being prescribed morphine for his asthma and bronchitis many years earlier .
"Notable human diseases caused by RNA viruses include SARS , influenza and hepatitis C.","In humans , well-known RNA viruses are those that cause SARS , Influenza or Hepatitis C."
"Francium is a highly radioactive metal that decays into astatine , radium , and radon .",Francium is very radioactive .
"Air is blown into the solution , causing the iodine to evaporate , then it is passed into an absorbing tower containing acid where sulfur dioxide is added to reduce the iodine .",Air is blown over the water to evaporate the iodine .
"By ingesting this large amount of non-radioactive iodine , radioactive iodine uptake by the thyroid gland is minimized .","The radioactive iodine easily goes into the thyroid and causes cancer . When people take iodine tablets , it fills up the thyroid with non-radioactive iodine which prevents any radioactive iodine from coming in ."
"Mayflies are unique among the winged insects in that they moult one more time after acquiring functional wings ( this is also known as the alate stage ) ; this second-to-last winged instar is usually very short , often a matter of hours , and is known as a subimago or to fly fishermen as a dun .","Mayflies are unique in that they moult one more time after getting functional wings ( this is also known as the alate stage ) . This second-to-last winged stage is usually very short , a matter of hours ."
"Elettaria cardamomum ( the usual type of cardamom ) is used as a spice , a masticatory , and in medicine ; it is also smoked sometimes ; it is used as a food plant by the larva of the moth Endoclita hosei .",Elettaria cardamomum ( the usual type of cardamom ) is used as a spice and in medicine ; it is also smoked sometimes ; it is used as a food plant by the larva of the moth Endoclita hosei .
"Its caterpillars can be a pest on cultivated cabbages , kale , radish , broccoli , and horseradish but it will readily lay eggs on wild members of the cabbage family such as Charlock Sinapis arvensis and Hedge mustard Sisybrium officinale .","Its caterpillars can be a pest on cultivated cabbages , but it will lay eggs as well on wild members of the cabbage family such as Charlock Sinapis arvensis and Hedge Mustard Sisybrium officinale ."
"Revolution Studios was an American film production company founded in 2000 by Joe Roth , a former chairman of Walt Disney Studios and 20th Century Fox .",Revolution Studios is a movie production company founded in 2000 and closed in 2007 .
"Fermentation of lactose by these bacteria produces lactic acid , which acts on milk protein to give yoghurt its texture and its characteristic tang .",Lactic acid acts on the protein in the milk to make yoghurt thick and sour .
